Timestamp,GroundTruth,Prediction
2020-01-02,353,353
2020-01-03,387,387
2020-01-04,244,244
2020-01-06,430,430
2020-01-07,365,365
2020-01-08,379,379
2020-01-09,383,367
2020-01-10,341,343
2020-01-11,238,260
2020-01-13,392,368
2020-01-14,353,340
2020-01-15,340,327
2020-01-16,349,332
2020-01-17,343,319
2020-01-18,254,231
2020-01-20,363,339
2020-01-21,352,311
2020-01-22,302,295
2020-01-23,315,298
2020-01-24,342,288
2020-01-25,209,207
2020-01-27,354,306
2020-01-28,368,280
2020-01-29,354,265
2020-01-30,315,266
2020-01-31,344,257
2020-02-01,240,181
2020-02-03,400,276
2020-02-04,332,250
2020-02-05,425,235
2020-02-06,365,234
2020-02-07,384,225
2020-02-08,260,153
2020-02-10,412,244
2020-02-11,429,219
2020-02-12,349,202
2020-02-13,394,201
2020-02-14,398,191
2020-02-15,299,116
2020-02-17,446,211
2020-02-18,399,183
2020-02-19,387,186
2020-02-20,360,168
2020-02-21,327,161
2020-02-22,246,85
2020-02-25,383,179
2020-02-26,303,170
2020-02-27,357,173
2020-02-28,374,162
2020-02-29,238,152
2020-03-02,461,76
2020-03-03,388,171
2020-03-04,325,164
2020-03-05,405,167
2020-03-06,335,155
2020-03-07,258,153
2020-03-09,392,73
2020-03-10,400,170
2020-03-11,386,161
2020-03-12,402,165
2020-03-13,373,158
2020-03-14,250,158
2020-03-16,384,73
2020-03-17,323,175
2020-03-18,162,164
2020-03-19,207,168
2020-03-20,211,163
2020-03-23,199,165
2020-03-24,171,75
2020-03-25,255,180
2020-03-26,189,167
2020-03-27,165,172
2020-03-30,176,168
2020-03-31,161,172
2020-04-01,71,79
2020-04-02,84,185
2020-04-03,112,173
2020-04-06,110,178
2020-04-07,120,173
2020-04-08,124,178
2020-04-09,93,83
2020-04-13,112,193
2020-04-14,77,183
2020-04-15,85,187
2020-04-16,86,178
2020-04-17,85,184
2020-04-20,93,88
2020-04-21,75,202
2020-04-22,79,194
2020-04-23,68,197
2020-04-24,79,185
2020-04-27,93,190
2020-04-28,91,92
2020-04-29,105,212
2020-04-30,94,202
2020-06-01,163,207
2020-06-02,165,193
2020-06-03,148,196
2020-06-04,157,97
2020-06-05,178,215
2020-06-06,82,199
2020-06-08,185,212
2020-06-09,161,197
2020-06-10,172,194
2020-06-11,161,97
2020-06-12,171,210
2020-06-13,60,194
2020-06-15,169,206
2020-06-16,164,193
2020-06-17,168,188
2020-06-18,152,93
2020-06-19,159,205
2020-06-20,72,191
2020-06-25,190,203
2020-06-26,191,189
2020-06-27,77,187
2020-06-29,190,93
2020-06-30,186,207
2020-07-01,202,195
2020-07-02,197,204
2020-07-03,167,189
2020-07-04,71,186
2020-07-06,200,93
2020-07-07,186,206
2020-07-08,189,192
2020-07-09,179,203
2020-07-10,186,189
2020-07-11,72,184
2020-07-13,193,92
2020-07-14,186,203
2020-07-15,178,190
2020-07-16,170,200
